"logFC" "logCPM" "LR" "PValue" "FDR"
"ENSG00000210049" 1.47944932410794 8.64510808188436 30.6728138267282 3.05414375385487e-08 0.000331496763043408
"ENSG00000126709" 2.91677103975801 6.52189704140818 24.9689349434772 5.82615159971092e-07 0.00313737647988935
"ENSG00000124097" 3.68695435763223 3.31591943420574 24.2025859950232 8.67157678244707e-07 0.00313737647988935
"ENSG00000209082" 1.369036176848 7.87256748938266 22.4584587400547 2.14737743076793e-06 0.00582690865838879
"ENSG00000116489" -0.500450701058987 11.8049413914633 21.2140881753595 4.10734289761878e-06 0.00856889596159471
"ENSG00000187608" 2.18545432050224 7.86124695316466 20.7607018826693 5.20399447970917e-06 0.00856889596159471
"ENSG00000210077" 1.21360322717201 9.53948609254579 20.5737844233437 5.73764665047945e-06 0.00856889596159471
"ENSG00000197061" -1.24292844046241 9.06681030643608 20.3900441586794 6.315751584002e-06 0.00856889596159471
"ENSG00000142089" 0.989890779496926 8.04958595434714 19.301767734922 1.11602977235218e-05 0.0134485943555667
"ENSG00000122257" 1.14631523481095 7.14574021081679 18.9505866807575 1.34148022718511e-05 0.0134485943555667
"ENSG00000198899" 1.31273618584155 14.5545163793082 18.8312102859816 1.4281100780458e-05 0.0134485943555667
"ENSG00000198886" 1.22736153828323 15.332454386177 18.6708975057542 1.55335363778336e-05 0.0134485943555667
"ENSG00000198804" 1.29327411819943 15.6490441231114 18.6017117933251 1.61075849108501e-05 0.0134485943555667
"ENSG00000144366" -0.794349709252373 8.75694996956714 18.1725417094197 2.0176696649995e-05 0.0156427046742175
"ENSG00000198888" 1.25989335059707 13.3947796356702 17.8972745033365 2.33154770564013e-05 0.016871079198012
"ENSG00000248527" 1.22418571342501 11.54605990853 16.7566080163172 4.24940138185246e-05 0.026065569836633
"ENSG00000163444" -1.52505403918186 4.62141036642773 16.5547121818876 4.72663868619247e-05 0.026065569836633
"ENSG00000198763" 1.19188799072941 14.2101927533381 16.4807131008477 4.91474949726096e-05 0.026065569836633
"ENSG00000198938" 1.26107125952174 15.515523637299 16.4225029460316 5.0679995787436e-05 0.026065569836633
"ENSG00000169245" 8.89278088675315 8.80712230643751 16.3707640404255 5.2082421797341e-05 0.026065569836633
"ENSG00000212907" 1.22514650951806 11.6863785570741 16.3229750221907 5.34124319950733e-05 0.026065569836633
"ENSG00000156587" 5.94115658874643 2.93861461150911 16.2612291277806 5.51815798709362e-05 0.026065569836633
"ENSG00000228253" 1.27859983145584 10.3357804351169 16.2594355645993 5.52338406341035e-05 0.026065569836633
"ENSG00000198695" 1.27604168800448 10.2590495608452 16.1075943103305 5.98435780222144e-05 0.0270642581605464
"ENSG00000188107" 5.63557591660478 3.14489253302206 15.9300748892218 6.57260079237487e-05 0.0285356036001747
"ENSG00000198712" 1.19498112136384 15.8081182380046 15.5945794972237 7.84792441448375e-05 0.0327620659980026
"ENSG00000144029" 1.09096850704663 6.44614005026026 15.5219025119574 8.15548089092895e-05 0.0327850331815344
"ENSG00000198727" 1.14690493652299 15.7428422196896 15.1549182892776 9.90399866923903e-05 0.0383921434128287
"ENSG00000198840" 1.17665787543826 10.1265183930003 14.3831769368635 0.000149128692038836 0.0558152697720526
"ENSG00000198786" 1.04707768795271 12.3552691983214 14.072204997481 0.000175924420307566 0.0636494552672774
"ENSG00000225630" 1.11636528600439 8.25949559678128 13.9533857766451 0.000187399837330954 0.0656141236900056
"ENSG00000228502" -0.425280783162689 4.51142244707118 13.6356812214264 0.000221927328011325 0.0752749755698414
"ENSG00000168273" 0.854168046401089 5.85960377180023 13.3220126612446 0.000262308473759291 0.0857636509643905
"ENSG00000159403" 4.16299882036212 2.51952443171157 13.2772001835692 0.000268653411902458 0.0857636509643905
"ENSG00000256060" 1.38642486417729 5.21659883397899 13.0848705805508 0.0002976904008169 0.0923180460133323
"ENSG00000210196" 0.950340044244717 6.2193764629142 12.9693756648125 0.00031662758937138 0.0954632181954711
"ENSG00000249353" -0.476829582198527 8.86643131900436 12.419230476599 0.000424935302066643 0.121913621356739
